"Date","Close","% Change","% Change vs Average","Volume"
"1984-12-31T22:00:00.000Z","179.63","0","-0.83","2,673,710,000"
"1985-01-31T22:00:00.000Z","181.18","0.86","0.03","2,194,620,000"
"1985-02-28T22:00:00.000Z","180.66","-0.29","-1.12","2,153,090,000"
"1985-03-31T21:00:00.000Z","179.83","-0.46","-1.29","1,981,880,000"
"1985-04-30T21:00:00.000Z","189.55","5.41","4.57","2,350,340,000"
"1985-05-31T21:00:00.000Z","191.85","1.21","0.38","2,117,000,000"
"1985-06-30T21:00:00.000Z","190.92","-0.48","-1.32","2,463,070,000"
"1985-07-31T21:00:00.000Z","188.63","-1.20","-2.03","1,923,200,000"
"1985-08-31T21:00:00.000Z","182.08","-3.47","-4.30","1,860,160,000"
"1985-09-30T22:00:00.000Z","189.82","4.25","3.42","2,543,240,000"
"1985-10-31T22:00:00.000Z","202.17","6.51","5.67","2,445,370,000"
"1985-11-30T22:00:00.000Z","211.28","4.51","3.67","2,804,380,000"
"1985-12-31T22:00:00.000Z","211.78","0.24","-0.59","2,879,010,000"
"1986-01-31T22:00:00.000Z","226.92","7.15","6.32","2,899,100,000"
"1986-02-28T22:00:00.000Z","238.90","5.28","4.45","3,214,600,000"
"1986-03-31T21:00:00.000Z","235.52","-1.41","-2.25","3,240,400,000"
"1986-04-30T21:00:00.000Z","247.35","5.02","4.19","2,680,240,000"
"1986-05-31T21:00:00.000Z","250.84","1.41","0.58","2,649,600,000"
"1986-06-30T21:00:00.000Z","236.12","-5.87","-6.70","3,029,900,000"
"1986-07-31T21:00:00.000Z","252.93","7.12","6.29","2,701,900,000"
"1986-08-31T21:00:00.000Z","231.32","-8.54","-9.38","3,166,300,000"
"1986-09-30T22:00:00.000Z","243.98","5.47","4.64","3,016,740,000"
"1986-10-31T22:00:00.000Z","249.22","2.15","1.32","2,940,830,000"
"1986-11-30T22:00:00.000Z","242.17","-2.83","-3.66","3,260,870,000"
"1986-12-31T22:00:00.000Z","274.08","13.18","12.35","4,040,880,000"
"1987-01-31T22:00:00.000Z","284.20","3.69","2.86","3,485,300,000"
"1987-02-28T22:00:00.000Z","291.70","2.64","1.81","3,965,100,000"
"1987-03-31T21:00:00.000Z","288.36","-1.15","-1.98","3,931,700,000"
